skv,X,Y,Z,H,Ip,Il,W,r,rs,e,WL,Wp,jn,E12mk.w,jw,rd,d0.3,cluster,qname
29?,469139.5665283,90252.41755439999,33.3,4.8,21.83927566,0.37482819,39.9,1.775,2.8360470610000004,1.2352844159999998,53.55329949,31.71402383,,,16.0,1.268763402,,N,L.epII
28?,469274.5144816,90252.248916,33.04,3.0,24.06158148,0.359542078,38.025,1.7975,2.6,0.9964673159999999,53.43543046,29.37384899,,,18.0,1.302300308,,Q,L.epII
155,467444.57951311005,90288.84298036,17.82,12.3,23.5,0.4,30.1,1.94,2.73,0.831,44.2,20.7,,,15.0,1.49,,Q,pH
21,472496.16672880005,89881.8293168,14.6,7.0,21.09,-0.24,17.22,1.9,2.73,0.684,43.31,22.22,,21.62165799,18.84,1.62,,Q,L.epIII-H
7?,472034.3874241,90013.24681279999,29.45,2.95,26.23734409,0.659464157,51.05,1.6825,2.68,1.406026746,59.9847561,33.74741201,,,6.0,1.11386958,,N,L.epIII-H
233,463082.38739140006,89303.25505759999,42.51,5.0,21.1,-0.09,17.8,1.97,2.76,0.648,40.8,19.7,,,14.0,1.67,,Q,L.epII
304,460776.5956195001,89817.01595839999,6.92,26.5,38.4,0.18,44.1,1.77,2.72,1.214,75.7,37.3,,,18.0,1.23,,N,L.epI
238,463156.39897000004,89215.96862479999,50.54,11.2,21.5,0.15,26.8,1.97,2.73,0.755,45.1,23.6,,,13.0,1.55,,Q,L.epI
155,467444.57951311005,90288.84298036,11.02,19.1,22.2,0.43,31.7,1.9,2.66,0.8440000000000001,44.3,22.1,,,12.0,1.44,,Q,pH
117,463770.14986600005,89560.4754616,49.2,13.5,21.5,0.28,24.3,1.99,2.72,0.701,39.8,18.3,,,19.0,1.6,,Q,edH
26?,469651.04435680003,90252.6919264,23.86,8.3,13.5,1.198148148,44.875,1.73,2.7,1.261054913,42.2,28.7,,,12.0,1.194132873,,N,L.epII
17?,470981.9966221,90379.3647944,16.17,4.74,28.25849164,0.40256277100000004,39.325,1.8075,2.684477427,1.069238271,56.20767494,27.949183299999998,,,6.0,1.297326395,,N,L.epII
27?,469403.8303855,90252.1699504,26.03,8.15,28.06841367,0.733163769,51.4,1.6075,2.6951546389999996,1.538391368,58.88966971,30.82125604,,,13.0,1.061756935,,N,L.epII
125,464098.19537026004,89690.809817248,42.55,18.2,26.8,0.2,39.5,1.68,2.69,1.2329999999999999,61.0,34.2,,,13.0,1.2,,N,edH
154,467425.65927685,90283.00081082399,21.15,9.1,23.8,0.33,28.7,1.96,2.73,0.789,44.6,20.8,,,15.0,1.52,,Q,pH
124,464084.86706161,89685.93007776799,53.3,8.2,26.4,0.34,37.9,1.84,2.73,1.046,55.4,29.0,,,18.0,1.33,,N,edH
18?,470868.6769384,90357.38291279999,21.02,2.85,22.86677799,0.096028365,32.65,1.875,2.8031364560000003,0.983125605,53.32091868,30.45414069,,,8.0,1.4134941580000002,,N,L.epII
203,461914.648318,89669.12811199999,24.3,7.2,12.9,-0.12,18.9,1.88,2.71,0.713,33.3,20.4,,,17.0,1.58,,Q,L.epIII-H
224,462740.50099450006,89415.1158528,21.23,17.3,16.8,0.18,16.1,2.14,2.71,0.473,29.9,13.1,,,17.0,1.84,,Q,L.epIII-H
125,464098.19537026004,89690.809817248,50.85,9.9,30.6,0.25,41.0,1.78,2.71,1.143,64.0,33.4,,,11.0,1.26,,N,edH
180,464084.9296816,89699.64229359999,37.24,23.0,30.2,0.32,47.1,1.74,2.68,1.265,67.5,37.3,,,17.0,1.18,,N,edH
163,470171.8739371,90250.1904568,24.05,8.1,23.8,0.17,19.4,2.1,2.69,0.53,39.1,15.3,,,15.0,1.76,,Q,L.epI
27?,469403.8303855,90252.1699504,29.83,4.35,41.10733888,0.626681571,82.725,1.5025,2.5,2.040349418,98.07112719,56.96378829999999,,,12.0,0.8222739090000001,,N,L.epII
165,471275.9581033,90389.5928472,7.73,10.3,15.4,0.22,19.0,2.06,2.71,0.5660000000000001,31.0,15.6,,,15.0,1.73,,Q,L.epII
154,467425.65927685,90283.00081082399,12.45,17.8,16.6,0.21,22.5,2.04,2.71,0.623,35.6,19.0,,,20.0,1.67,,Q,pH
29?,469139.5665283,90252.41755439999,28.2,9.9,21.45522299,0.311633564,33.7,1.8425,2.80568731,1.035931579,48.46905537,27.01383238,,,10.0,1.378085266,,N,L.epII
16?,471192.6622675,90394.688136,17.04,1.42,21.17355066,0.220502798,29.175,1.9225,2.8693424089999997,0.927944373,45.6797235,24.50617284,,,9.0,1.488291078,,N,L.epII
303,460584.01102750003,89827.98013119999,8.68,20.0,21.6,0.31,30.1,1.94,2.75,0.847,45.0,23.4,,,18.0,1.49,,Q,mIIIkg
1?,472454.7662911,89867.21666559999,21.16,0.35,15.35444743,0.156072467,16.925,2.055,2.66257224,0.5149452999999999,29.88304094,14.52859351,,,13.0,1.7575368830000002,,Q,L.epIII-H
29?,469139.5665283,90252.41755439999,30.9,7.2,25.11224434,0.102535646,27.525,1.9325,2.772160494,0.8293390270000001,50.06234414,24.950099800000004,,,19.0,1.515389139,,Q,L.epII
28?,469274.5144816,90252.248916,34.99,1.05,13.73408927,-0.041621911,17.2,2.0575,2.680600701,0.526932696,31.50572831,17.77163904,,,20.0,1.755546075,,Q,L.epII
21?,465964.8380269,90176.11056554399,29.3,6.0,2.81,-2.99,7.84,1.7,2.67,0.6940000000000001,19.05,16.24,24.23,12.08,,1.58,0.021,Q,L.epI
20?,465968.60535049,90171.050356208,31.35,4.9,2.78,-2.9,8.82,1.73,2.67,0.679,19.67,16.89,26.34,11.28,,1.59,0.022000000000000002,Q,L.epI
20?,465968.60535049,90171.050356208,29.75,6.5,4.32,-1.74,9.7,1.68,2.67,0.743,21.55,17.23,23.99,9.84,,1.53,0.021,Q,L.epI
21?,465964.8380269,90176.11056554399,31.0,4.3,5.76,-1.16,9.68,1.77,2.67,0.654,22.1,16.34,26.57,12.72,,1.61,0.01,Q,L.epI
